Datetime,Buyexchange,Sellexchange,Currency,Result
Sep 22 2019 05:30:10 PM,latoken,crex24,VGW/BTC
Oct 02 2019 08:57:59 PM,crex24,btcalpha,JWL/BTC
Oct 04 2019 10:21:32 AM,southxchange,kucoin,ONION/BTC
Oct 04 2019 03:17:33 PM,latoken,crex24,VGW/BTC
Oct 04 2019 04:32:24 PM,bibox,latoken,CPC/BTC
Oct 04 2019 04:57:23 PM,hitbtc2,bittrex,AEON/BTC
Oct 04 2019 04:59:20 PM,coss,bitz,EDC/BTC
Oct 06 2019 11:16:34 AM,bittrex,tidex,BNT/BTC
Oct 06 2019 11:24:25 AM,bittrex,livecoin,DRGN/BTC
Oct 06 2019 02:00:05 PM,livecoin,btcalpha,PZM/BTC
Oct 06 2019 02:29:39 PM,hitbtc2,bittrex,AEON/BTC
Oct 06 2019 02:48:01 PM,crex24,acx,LOG/BTC
Oct 06 2019 03:31:37 PM,crex24,acx,LOG/BTC
Oct 06 2019 04:36:48 PM,bigone,oceanex,IOST/BTC
Oct 06 2019 04:37:10 PM,bittrex,coinfalcon,DOGE/BTC
Oct 06 2019 06:30:51 PM,bittrex,coinfalcon,DOGE/BTC
Oct 06 2019 06:31:02 PM,exmo,digifinex,ETZ/BTC
Oct 06 2019 07:15:45 PM,digifinex,bitforex,UND/BTC
Oct 06 2019 07:54:42 PM,btcalpha,latoken,AGLT/BTC
Oct 07 2019 05:23:47 AM,huobipro,bitmart,MT/BTC
Oct 07 2019 05:29:39 AM,bibox,livecoin,EOSDAC/BTC
Oct 07 2019 05:39:02 AM,bittrex,coinfalcon,XRP/BTC
Oct 07 2019 06:03:51 AM,tidex,crex24,DMME/BTC
Oct 07 2019 07:58:00 PM,bittrex,coinfalcon,XRP/BTC
Oct 07 2019 08:05:15 PM,cex,bigone,ONG/BTC
Oct 07 2019 08:16:36 PM,digifinex,bitforex,UND/BTC
Oct 07 2019 08:18:58 PM,bitz,bitforex,WWB/BTC
Oct 07 2019 09:14:04 PM,huobipro,bitmart,MT/BTC
Oct 07 2019 10:49:52 PM,btcalpha,crex24,WIX/BTC
Oct 07 2019 10:50:16 PM,crex24,latoken,MAC/BTC
Oct 07 2019 10:56:06 PM,southxchange,hitbtc2,SC/BTC
Oct 07 2019 11:04:23 PM,exmo,digifinex,ETZ/BTC
Oct 07 2019 11:04:59 PM,huobipro,coinegg,FTI/BTC
Oct 07 2019 11:55:08 PM,cex,digifinex,ONG/BTC
Oct 07 2019 11:55:37 PM,exmo,digifinex,ETZ/BTC
Oct 08 2019 12:04:46 AM,hitbtc2,tidex,SUB/BTC
Oct 08 2019 12:10:27 AM,digifinex,bitforex,UND/BTC
Oct 08 2019 12:22:51 AM,huobipro,hitbtc2,BLZ/BTC
Oct 08 2019 12:34:05 AM,exmo,digifinex,ETZ/BTC
Oct 08 2019 12:54:45 AM,exmo,digifinex,ETZ/BTC
Oct 08 2019 12:56:08 AM,tidex,btcalpha,REM/BTC
Oct 08 2019 01:14:44 AM,exmo,digifinex,ETZ/BTC
Oct 08 2019 01:23:00 AM,southxchange,coinbasepro,DASH/BTC
Oct 08 2019 01:37:59 AM,kuna,kucoin,HKN/BTC
Oct 08 2019 01:54:32 PM,bitz,lbank,KBC/BTC
Oct 08 2019 02:02:59 PM,cex,bigone,ONG/BTC
Oct 08 2019 02:20:34 PM,bitz,lbank,KBC/BTC
Oct 08 2019 02:21:01 PM,btcalpha,tidex,VEST/BTC
Oct 08 2019 02:27:29 PM,cex,bigone,ONG/BTC
Oct 08 2019 02:58:34 PM,kucoin,bleutrade,DASH/BTC
Oct 08 2019 03:03:27 PM,bitforex,bitz,KBC/BTC
Oct 08 2019 03:06:19 PM,cex,binance,ONG/BTC
Oct 08 2019 10:34:45 PM,poloniex,upbit,GAME/BTC
Oct 08 2019 10:36:45 PM,crex24,livecoin,WGR/BTC
Oct 08 2019 10:37:44 PM,livecoin,crex24,GEX/BTC
Oct 08 2019 10:38:24 PM,livecoin,exmo,ROOBEE/BTC
Oct 08 2019 10:40:40 PM,bitforex,binance,BNB/BTC
Oct 08 2019 10:53:57 PM,poloniex,binance,NAV/BTC
Oct 08 2019 11:14:10 PM,bitz,bitforex,WWB/BTC
Oct 08 2019 11:14:49 PM,bitforex,kucoin,BNB/BTC
Oct 08 2019 11:21:09 PM,huobipro,digifinex,GNX/BTC
Oct 09 2019 02:32:11 PM,bittrex,southxchange,BAT/BTC
Oct 09 2019 02:45:44 PM,digifinex,bitforex,MESG/BTC
Oct 09 2019 02:46:03 PM,bittrex,digifinex,ELF/BTC
Oct 09 2019 02:59:20 PM,bittrex,kraken,SC/BTC
Oct 09 2019 03:00:07 PM,digifinex,bitforex,MESG/BTC
Oct 09 2019 03:02:43 PM,crex24,livecoin,XSPEC/BTC
Oct 09 2019 03:03:34 PM,livecoin,bitbay,GAME/BTC
Oct 09 2019 03:34:44 PM,bitz,btcalpha,DOGE/BTC
Oct 09 2019 03:55:37 PM,huobipro,hitbtc2,WTC/BTC
Oct 09 2019 04:21:20 PM,livecoin,btcalpha,JWL/BTC
Oct 09 2019 04:34:04 PM,kucoin,hitbtc2,TIME/BTC
Oct 09 2019 04:47:59 PM,bitz,bitforex,WWB/BTC
Oct 09 2019 06:47:24 PM,binance,hitbtc2,PPT/BTC
Oct 09 2019 06:51:47 PM,huobipro,tidex,DOGE/BTC
Oct 09 2019 07:01:32 PM,binance,huobipro,XZC/BTC
Oct 10 2019 03:27:23 AM,exmo,digifinex,ETZ/BTC
Oct 10 2019 03:35:26 AM,huobipro,hitbtc2,REN/BTC
Oct 10 2019 03:44:33 AM,digifinex,bitforex,MESG/BTC
Oct 10 2019 04:12:10 AM,bittrex,hitbtc2,CND/BTC
Oct 10 2019 04:28:28 AM,bitforex,hitbtc2,BNB/BTC
Oct 10 2019 04:29:11 AM,exmo,digifinex,ETZ/BTC
Oct 10 2019 04:47:15 AM,huobipro,oceanex,IOST/BTC
Oct 10 2019 09:27:31 AM,exmo,digifinex,ETZ/BTC
Oct 10 2019 09:47:54 AM,bitz,bitforex,WWB/BTC
Oct 10 2019 09:48:17 AM,poloniex,upbit,LBC/BTC
Oct 10 2019 10:04:24 AM,tidex,btcalpha,REM/BTC
Oct 10 2019 10:50:56 AM,poloniex,bitbay,GAME/BTC
Oct 10 2019 11:05:03 AM,crex24,southxchange,POLIS/BTC
Oct 23 2019 12:52:16 AM,kucoin,bitz,MHC/BTC
Oct 23 2019 01:28:22 AM,southxchange,hitbtc2,SNBL/BTC
Oct 23 2019 01:44:43 AM,upbit,bitmart,EDR/BTC
Oct 23 2019 01:54:19 AM,kucoin,hitbtc2,AGI/BTC
Oct 23 2019 02:37:49 AM,oceanex,livecoin,VTHO/BTC
Oct 23 2019 02:55:23 AM,crex24,bitz,ILC/BTC
Oct 23 2019 02:55:40 AM,upbit,bitmart,EDR/BTC
Oct 23 2019 03:40:59 AM,crex24,btcalpha,TRX/BTC
Oct 23 2019 04:05:12 AM,digifinex,btcalpha,TRX/BTC
Oct 23 2019 04:11:44 AM,tidex,btcalpha,REM/BTC
Oct 23 2019 04:17:23 AM,crex24,bitz,ILC/BTC
Oct 23 2019 04:24:00 AM,poloniex,upbit,NMR/BTC
Oct 23 2019 03:31:17 PM,southxchange,binance,XMR/BTC
Oct 23 2019 03:32:32 PM,kucoin,livecoin,DGB/BTC
Oct 23 2019 04:40:04 PM,huobipro,livecoin,XZC/BTC
Oct 23 2019 04:40:39 PM,crex24,btcalpha,WIX/BTC
Oct 23 2019 04:43:05 PM,kucoin,hitbtc2,AGI/BTC
Oct 23 2019 05:10:54 PM,bitbay,hitbtc2,NEU/BTC
Oct 23 2019 05:12:20 PM,binance,digifinex,THETA/BTC
Oct 23 2019 06:10:34 PM,bitforex,southxchange,FTO/BTC
Oct 23 2019 06:11:09 PM,digifinex,bitz,ILC/BTC
Oct 23 2019 06:11:32 PM,bitbay,bittrex,GAME/BTC
Oct 23 2019 06:41:00 PM,digifinex,bitz,KBC/BTC
Oct 23 2019 07:16:21 PM,bittrex,tidex,MER/BTC
Oct 23 2019 07:31:35 PM,bittrex,tidex,MER/BTC
Oct 23 2019 09:54:47 PM,poloniex,coinegg,XPM/BTC
Oct 23 2019 10:12:11 PM,huobipro,digifinex,UTK/BTC
Oct 24 2019 03:19:43 AM,upbit,tidex,LOOM/BTC
Oct 24 2019 03:20:03 AM,poloniex,bittrex,NMR/BTC
Oct 24 2019 03:25:29 AM,poloniex,coinegg,XPM/BTC
Oct 24 2019 03:35:58 AM,livecoin,kucoin,ROOBEE/BTC
Oct 24 2019 03:48:24 AM,coinegg,exmo,INK/BTC
Oct 24 2019 03:50:56 AM,oceanex,livecoin,VTHO/BTC
Oct 24 2019 03:54:51 AM,okex3,hitbtc2,PAY/BTC
Oct 24 2019 04:00:02 AM,livecoin,kucoin,ROOBEE/BTC
Oct 24 2019 04:08:18 AM,upbit,kucoin,SPND/BTC
Oct 24 2019 04:12:38 AM,digifinex,huobipro,LAMB/BTC
Oct 24 2019 04:20:47 AM,coss,hitbtc2,SUB/BTC
Oct 24 2019 05:13:08 AM,kucoin,coinegg,FOTA/BTC
Oct 24 2019 05:50:52 AM,livecoin,kucoin,ROOBEE/BTC
Oct 24 2019 05:51:28 AM,tidex,btcalpha,DOGE/BTC
Oct 24 2019 05:51:35 AM,bittrex,digifinex,EDR/BTC
Oct 24 2019 06:12:14 AM,livecoin,kucoin,ROOBEE/BTC
Oct 24 2019 10:09:57 AM,southxchange,bitforex,FTO/BTC
Oct 24 2019 10:13:03 AM,oceanex,bigone,VTHO/BTC
Oct 24 2019 05:57:03 PM,oceanex,livecoin,VTHO/BTC
Oct 24 2019 05:57:37 PM,tidex,btcalpha,REM/BTC
Oct 26 2019 04:39:53 PM,digifinex,huobipro,UTK/BTC
Oct 26 2019 04:45:40 PM,upbit,digifinex,RVN/BTC
Oct 26 2019 04:48:29 PM,poloniex,tidex,OMG/BTC
Oct 26 2019 04:50:52 PM,kraken,btcalpha,ICX/BTC
Oct 26 2019 04:51:13 PM,huobipro,bitmart,MT/BTC
Oct 26 2019 05:17:35 PM,bittrex,tidex,BNT/BTC
Oct 26 2019 05:21:52 PM,poloniex,hitbtc2,NMR/BTC
Oct 28 2019 05:28:28 PM,upbit,livecoin,SIB/BTC
Oct 28 2019 05:37:22 PM,huobipro,coinegg,FTI/BTC
Oct 28 2019 05:52:15 PM,upbit,binance,RLC/BTC
Oct 28 2019 07:16:12 PM,crex24,southxchange,TNET/BTC
Oct 28 2019 07:16:25 PM,upbit,hitbtc2,BKX/BTC
Oct 28 2019 07:17:52 PM,okex3,southxchange,IOTA/BTC
Oct 28 2019 07:28:16 PM,upbit,binance,RLC/BTC
Oct 28 2019 08:00:45 PM,oceanex,bigone,VTHO/BTC
Oct 28 2019 08:01:10 PM,crex24,hitbtc2,BTX/BTC
Oct 28 2019 08:01:34 PM,upbit,binance,XZC/BTC
Oct 29 2019 11:13:52 AM,southxchange,hitbtc2,SNBL/BTC
Oct 29 2019 11:14:01 AM,upbit,bittrex,STPT/BTC
Oct 29 2019 11:16:00 AM,btcalpha,tidex,REM/BTC
Oct 29 2019 11:20:39 AM,upbit,livecoin,SIB/BTC
Oct 29 2019 11:30:58 AM,bibox,bitz,KBC/BTC
Oct 29 2019 11:45:38 AM,upbit,bittrex,STPT/BTC
Oct 30 2019 03:37:28 AM,poloniex,upbit,FCT/BTC
Oct 30 2019 03:38:20 AM,lbank,huobipro,SC/BTC
Oct 30 2019 03:39:31 AM,huobipro,bitbay,PAY/BTC
Oct 30 2019 03:41:50 AM,poloniex,southxchange,XPM/BTC
Oct 30 2019 03:47:02 AM,oceanex,huobipro,IOST/BTC
Oct 30 2019 03:47:22 AM,upbit,hitbtc2,BKX/BTC
Oct 30 2019 04:03:48 AM,crex24,btcalpha,DOGE/BTC
Oct 30 2019 04:04:41 AM,poloniex,upbit,FCT/BTC
Oct 30 2019 04:12:46 AM,kucoin,crex24,ENQ/BTC
Oct 30 2019 04:16:32 AM,upbit,okex3,BKX/BTC
Oct 31 2019 01:51:17 AM,huobipro,digifinex,THETA/BTC
Oct 31 2019 01:51:46 AM,bittrex,upbit,MOC/BTC
Oct 31 2019 01:53:32 AM,upbit,binance,NXS/BTC
Oct 31 2019 01:53:40 AM,exmo,crex24,GUSD/BTC
Oct 31 2019 01:57:19 AM,bibox,upbit,TTC/BTC
Oct 31 2019 01:57:24 AM,btcalpha,bitbay,KZC/BTC
Oct 31 2019 02:02:44 AM,upbit,bittrex,MONA/BTC
Oct 31 2019 02:04:03 AM,bittrex,livecoin,CURE/BTC
Oct 31 2019 02:26:55 AM,digifinex,btcalpha,R/BTC
Oct 31 2019 02:27:03 AM,bittrex,upbit,BORA/BTC
Oct 31 2019 06:32:28 PM,bittrex,digifinex,UTK/BTC
Oct 31 2019 06:32:46 PM,upbit,bittrex,VDX/BTC
Oct 31 2019 06:38:53 PM,bigone,oceanex,VTHO/BTC
Oct 31 2019 06:39:01 PM,upbit,bittrex,MONA/BTC
Oct 31 2019 06:39:09 PM,latoken,btcalpha,AGLT/BTC
Oct 31 2019 06:39:22 PM,upbit,bittrex,UKG/BTC
Oct 31 2019 06:40:32 PM,poloniex,southxchange,XPM/BTC
Oct 31 2019 06:49:43 PM,upbit,bittrex,RADS/BTC
Oct 31 2019 06:51:01 PM,huobipro,digifinex,UTK/BTC
Oct 31 2019 06:54:58 PM,kucoin,tidex,CS/BTC
