Datetime,Buyexchange,Sellexchange,Currency,Result
Sep 16 2019 12:16:09 PM,bittrex,upbit,VBK/BTC,fail
Sep 16 2019 01:12:07 PM,bittrex,upbit,VBK/BTC,fail
Sep 16 2019 01:59:26 PM,crex24,latoken,XBM/BTC,success
Sep 16 2019 02:28:29 PM,bittrex,crex24,CRW/BTC,success
Sep 16 2019 03:04:31 PM,digifinex,kucoin,UTK/BTC,success
Sep 16 2019 05:56:05 PM,huobipro,crex24,BSV/BTC,null
Sep 16 2019 06:35:23 PM,southxchange,hitbtc2,LCC/BTC,success
Sep 16 2019 10:08:00 PM,kucoin,digifinex,NRG/BTC,success
Sep 16 2019 10:13:13 PM,digifinex,hitbtc2,UTK/BTC,fail
Sep 16 2019 10:42:06 PM,coinegg,exmo,INK/BTC,success
Sep 16 2019 10:48:53 PM,kucoin,digifinex,NRG/BTC,fail
Sep 16 2019 11:31:47 PM,coinegg,hitbtc2,FREC/BTC,success
Sep 16 2019 11:54:09 PM,upbit,hitbtc2,WAXP/BTC,success
Sep 17 2019 01:44:23 AM,bitz,bitforex,WWB/BTC,success
Sep 17 2019 01:59:39 AM,bittrex,livecoin,DRGN/BTC,success
Sep 17 2019 02:19:15 AM,bittrex,kucoin,WAXP/BTC,success
Sep 17 2019 12:40:07 PM,crex24,btcalpha,WIX/BTC,null
Sep 17 2019 12:43:39 PM,crex24,btcalpha,WIX/BTC,success
Sep 17 2019 01:31:14 PM,kucoin,bittrex,TRX/BTC,null
Sep 17 2019 01:50:24 PM,kucoin,bittrex,TRX/BTC,null
Sep 17 2019 02:12:20 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 17 2019 03:38:05 PM,binance,hitbtc2,BQX/BTC,null
Sep 17 2019 04:51:28 PM,bitforex,digifinex,ELAC/BTC,fail
Sep 17 2019 05:06:19 PM,crex24,btcalpha,WIX/BTC,fail
Sep 17 2019 05:11:46 PM,livecoin,hitbtc2,TRST/BTC,success
Sep 17 2019 05:57:07 PM,kucoin,upbit,COSM/BTC,fail
Sep 17 2019 07:04:21 PM,crex24,latoken,XBM/BTC,success
Sep 17 2019 07:51:25 PM,crex24,latoken,XBM/BTC,success
Sep 17 2019 10:57:03 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 17 2019 11:13:28 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 18 2019 01:58:59 AM,kucoin,upbit,COSM/BTC,null
Sep 18 2019 12:34:08 PM,hitbtc2,crex24,BTX/BTC,success
Sep 18 2019 02:05:16 PM,binance,livecoin,CND/BTC,fail
Sep 18 2019 02:25:13 PM,binance,livecoin,CND/BTC,null
Sep 18 2019 02:38:56 PM,huobipro,bittrex,UTK/BTC,fail
Sep 18 2019 02:43:52 PM,kucoin,livecoin,GAS/BTC,fail
Sep 18 2019 02:49:23 PM,kucoin,livecoin,GAS/BTC,fail
Sep 18 2019 03:23:28 PM,lbank,digifinex,ABBC/BTC,fail
Sep 18 2019 03:25:15 PM,crex24,latoken,XBM/BTC,fail
Sep 18 2019 03:29:41 PM,lbank,digifinex,ABBC/BTC,fail
Sep 19 2019 12:17:29 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 19 2019 12:22:18 PM,southxchange,bittrex,XST/BTC,success
Sep 19 2019 01:07:18 PM,cex,bittrex,ONG/BTC,fail
Sep 19 2019 01:09:49 PM,okex3,livecoin,MCO/BTC,success
Sep 19 2019 01:53:18 PM,livecoin,hitbtc2,SNBL/BTC,fail
Sep 19 2019 01:58:35 PM,huobipro,livecoin,NEXO/BTC,null
Sep 19 2019 02:10:43 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 19 2019 02:10:50 PM,huobipro,livecoin,NEXO/BTC,fail
Sep 19 2019 02:16:08 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 19 2019 05:10:38 PM,livecoin,kucoin,CHSB/BTC,fail
Sep 19 2019 05:10:48 PM,livecoin,bittrex,PPC/BTC,fail
Sep 19 2019 05:16:31 PM,livecoin,bittrex,TUBE/BTC,success
Sep 19 2019 05:22:04 PM,binance,okex3,GTO/BTC,null
Sep 19 2019 05:22:38 PM,livecoin,digifinex,TRX/BTC,fail
Sep 19 2019 05:28:47 PM,upbit,kucoin,ZRX/BTC,success
Sep 19 2019 05:36:56 PM,hitbtc2,crex24,BTX/BTC,fail
Sep 19 2019 05:39:23 PM,livecoin,southxchange,NMC/BTC,fail
Sep 19 2019 06:45:44 PM,bitmart,hitbtc2,FDZ/BTC,null
Sep 19 2019 06:51:52 PM,bittrex,hitbtc2,WAXP/BTC,null
Sep 19 2019 06:54:51 PM,bitmart,hitbtc2,FDZ/BTC,success
Sep 19 2019 06:56:53 PM,bittrex,hitbtc2,WAXP/BTC,success
Sep 19 2019 07:12:03 PM,upbit,hitbtc2,WAXP/BTC,success
Sep 19 2019 07:31:15 PM,livecoin,upbit,SHIFT/BTC,success
Sep 19 2019 07:41:15 PM,upbit,hitbtc2,WAXP/BTC,fail
Sep 19 2019 08:28:22 PM,upbit,hitbtc2,WAXP/BTC,success
Sep 19 2019 10:44:24 PM,upbit,hitbtc2,CMCT/BTC,fail
Sep 19 2019 11:37:36 PM,hitbtc2,binance,BRD/BTC,success
Sep 20 2019 09:01:39 AM,bitz,hitbtc2,ETP/BTC,fail
Sep 20 2019 09:48:29 AM,huobipro,upbit,CTXC/BTC,fail
Sep 20 2019 09:59:57 AM,coss,kucoin,SNM/BTC,fail
Sep 20 2019 12:41:56 PM,huobipro,hitbtc2,SNC/BTC,success
Sep 20 2019 01:07:52 PM,southxchange,crex24,TNET/BTC,fail
Sep 20 2019 02:02:34 PM,crex24,bitmart,KICK/BTC,fail
Sep 21 2019 10:48:17 AM,okex3,kraken,ETC/BTC,null
Sep 21 2019 10:53:56 AM,crex24,poloniex,BCN/BTC,null
Sep 21 2019 10:59:46 AM,bittrex,southxchange,PINK/BTC,success
Sep 22 2019 02:57:20 PM,bittrex,hitbtc2,WAXP/BTC,fail
Sep 22 2019 03:07:39 PM,binance,cex,ONG/BTC,success
Sep 22 2019 03:20:54 PM,southxchange,hitbtc2,SNBL/BTC,success
Sep 22 2019 03:22:55 PM,bittrex,hitbtc2,WAXP/BTC,fail
Sep 22 2019 03:36:43 PM,livecoin,hitbtc2,DOV/BTC,success
Sep 22 2019 03:55:17 PM,kucoin,hitbtc2,QKC/BTC,null
Sep 22 2019 03:58:29 PM,southxchange,bittrex,XST/BTC,success
Sep 22 2019 05:15:03 PM,bigone,cex,ONG/BTC,fail
Sep 22 2019 05:30:10 PM,latoken,crex24,VGW/BTC,success
Sep 22 2019 10:44:07 PM,livecoin,bittrex,BURST/BTC,fail
Sep 22 2019 10:47:10 PM,crex24,latoken,XBM/BTC,null
Oct 01 2019 01:40:34 PM,binance,coinbasepro,XTZ/BTC,null
Oct 01 2019 01:45:46 PM,binance,coinbasepro,XTZ/BTC,null
Oct 01 2019 07:24:09 PM,upbit,kraken,ETC/BTC,null
Oct 02 2019 08:16:15 PM,digifinex,bitforex,UND/BTC,null
Oct 02 2019 08:57:59 PM,crex24,btcalpha,JWL/BTC,success
Oct 03 2019 12:21:22 AM,binance,exmo,WAVES/BTC,null
Oct 04 2019 10:21:32 AM,southxchange,kucoin,ONION/BTC,success
Oct 04 2019 12:26:34 PM,kucoin,latoken,QKC/BTC,null
Oct 04 2019 02:55:07 PM,hitbtc2,upbit,IGNIS/BTC,null
